,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
210,Arcadia University, Rakin Hall, $50, (877) 272-2342, admiss@arcadia.edu, Website, Website, N/A, Yes,, N/A, 63.6%, 11, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 55.6%, 90, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.",, Yes, Yes, 109, 97, 0, 10, 13, 1, 47, 100%, 0%, 283, 20, N/A, N/A, N/A, Holly Kirkpatrick, (215) 572-2980, N/A, $705 per credit, N/A, $705 per credit, N/A, N/A, N/A," $1,010 per credit", N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 3, 16, N/A, 19, 19, 16, N/A, 12," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 19, N/A, 29, N/A, N/A, N/A,, N/A,,,
211,Arkansas State University--Jonesboro, Dr. Cherisse R. Jones, $30, (870) 972-2031, gradadmissions@astate.edu, Website, Website, Website, Yes,, 6, 62.6%, 174, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 65.5%," 1,488", 20%, 3.29, N/A, N/A, N/A, N/A, N/A, N/A, 73.9%,, 737, 12%, 3.26, 3%, 3%, 3%,, 3.6, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, Yes, 66," 1,262", 612, 16, 34, 11, 22, 97%, 0%," 3,281", 73, N/A, N/A, N/A, Terry Finney, (870) 972-2310, N/A,,,,,, N/A,," $9,570", School of education with undergraduate and graduate divisions, N/A, Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A,,, N/A,,,
212,Arkansas Tech University, Dr. Blake Bedsole, $40, (479) 968-0343, graduateadmissions@atu.edu, Website, Website, Website, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 90.8%, 152, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ed.D.",, No, Yes, N/A, 182, 7, 10, 30, 4, 21, 93%, 0%, 368, 60, N/A, N/A, N/A, Mrs. Niki Schwartz, (479) 968-0399, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," $8,546", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 73, N/A, 73, 0, 19, 0, N/A," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
213,Azusa Pacific University, Adam Lipson, $45, (800) 825-5278, gpc@apu.edu, Website, Website, N/A, Yes,, 7, 76.7%, 43, 100%, 3.21, N/A, N/A, N/A, N/A, N/A, N/A, 90.1%, 182, 100%, 3.22, N/A, N/A, N/A, N/A, N/A, N/A, 77.3%,, 44, 100%, 3.25, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, N/A, 192, 37, 18, 37, 1, 79, 97%, 0%, 739, 566, N/A, N/A, N/A, Michelle Johnson, (800) 825-5278, $714 per credit, $714 per credit, $714 per credit, $712 per credit, $772 per credit, $772 per credit," $1,077 per credit", N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), CCCU (Council for Christian Colleges and Universities), HACU (Hispanic Association of Colleges and Universities)", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 58, 533, 0, 591, N/A, N/A, N/A, 18, No," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,,
214,Bellarmine University," Sara Y. Pettingill, Ph.D.", $0, (502) 272-7200, gradadmissions@bellarmine.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%, 88, 67%, 3.53, N/A, N/A, N/A, N/A, N/A, N/A, 100%,, 7, 100%, 3.9, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, N/A, Yes, N/A, 46, 6, 13, 6, 0, 11, 100%, 0%, 205, 145, N/A, N/A, N/A, April Tretter, (502) 272-7300, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No," Yes, in all teaching programs"," Yes, all students are mentored", 50, 50, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
215,Bowie State University, N/A, $40, (301) 860-3415, gradadmissions@bowiestate.edu, N/A, Website, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%, 243, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, Yes, No, 0, 62, 0, N/A, 28, 12, 19, 64%, 0%, 887, 465, N/A, N/A, N/A," Deborah Stanley, Director", (301) 860-3543, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), Holmes Partnership, NAFEO (National Association for Equal Opportunity in Higher Education)", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
216,Caldwell University, Jan Marco Jiras, $50, (973) 618-3500, graduate@caldwell.edu, Website, Website, N/A, Yes,, 7.5, 86.7%, 15, 64%, 3.35, N/A, N/A, N/A, N/A, N/A, N/A, 100%, 13, 78%, 3.42, N/A, N/A, N/A, N/A, N/A, N/A, 85.7%,, 28, 78%, 3.75, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 22, 27, 42, 6, 7, 0, 21, 100%, 0%, 197, 20, N/A, N/A, N/A, Eileen Felske, (973) 618-3419, $720 per credit, $720 per credit, $720 per credit, $720 per credit, $720 per credit, $720 per credit, $990 per credit, $990 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), No, No, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s)", 29, N/A, N/A, 29, 19, N/A, N/A, 1," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,,
217,Cardinal Stritch University, Susan Slonac, $0, (414) 410-4062, admissions@stritch.edu, Website, Website, N/A, Yes,, 6.5, 100%, 64, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 98.1%, 52, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D., Ed.D.",, Yes, Yes, N/A, 107, N/A, 25, N/A, N/A, N/A, N/A, N/A, 297, 43, N/A, N/A, N/A, Mark Quistorf, (414) 410-4048, $600 per credit, $600 per credit, $730 per credit, $730 per credit, N/A, N/A, $795 per credit, $795 per credit," $6,518", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 67, N/A, 67, N/A, 59, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 32, 16, 59, N/A, N/A, N/A, N/A, N/A,,,,,
218,Carson-Newman University, Clay Wilkerson, N/A, (800) 678-9061, N/A, Website, Website, N/A, No, N/A, N/A, 78.5%, 93, 100%, 3.53, N/A, N/A, N/A, N/A, N/A, N/A, 53.1%, 258, 65%, 3.43, 1%, 1%, 1%,, 5, N/A, 38.1%,, 42, 55%, 3.71, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 0, 119, 44, 41, 16, 0, 9, 100%, 0%, 496, 25, N/A, N/A, N/A, Danette Seal, (865) 471-3247, N/A, $415 per credit, $415 per credit, $415 per credit, $550 per credit, $550 per credit, $550 per credit, $550 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), No, No, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 0, 71, 0, 71, 0, 26, 0, 15," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 26, 26, 35, 35, 33, 33, 32, N/A,,,,,
219,College of St. Mary, John Frost, $30, (800) 926-5534, enroll@csm.edu, Website, Website, Website, Yes,, N/A, 100%, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 73.3%, 45, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ed.D.", N/A, No, Yes, N/A, 27, N/A, 9, 79, 14, 109, 84%, 1.3%, 96, 64, N/A, N/A, N/A, Beth Sisk, (402) 399-2362, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, No, No, No," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 38, N/A, 38, 0, 27, 0, 5," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, 43, N/A, 46, N/A, N/A, N/A,,,,,
220,Concordia University--St. Paul, Amber Faletti, $0, (651) 641-8230, admission@csp.edu, Website, Website, N/A, Yes,, 6, 92.3%, 39, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 95.8%, 334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 95.9%,, 73, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 20, 313, 60, 16, 20, 0, 105, 85%, 0%," 1,102"," 1,028", N/A, N/A, N/A, Amanda McCaughan, (651) 603-6300, $395 per credit, $395 per credit, $395 per credit, $395 per credit, $415 per credit, $415 per credit, $615 per credit, $615 per credit," $14,850", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 60, 796, 146," 1,002", 20, 313, 60, 20," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 89, 81, 60, 52, 62, 53, N/A,,,,,,
221,Dallas Baptist University (Bush), Kimberly Case, N/A, (214) 333-5242, admiss@dbu.edu, Website, Website, N/A, Yes,, 6, 50%, 8, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 75%, 64, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%,, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.",, Yes, Yes, 0, 57, 2, 30, 0, 15, 74, N/A, N/A, 214, 95, N/A, N/A, N/A, Sharmain Reed, (214) 333-5363, N/A," $1,104 per credit"," $1,104 per credit"," $1,104 per credit"," $1,104 per credit"," $1,104 per credit"," $1,134 per credit", N/A," $8,528", School of education with undergraduate and graduate divisions, CCCU (Council for Christian Colleges and Universities), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 2, 28, 0, 30, 0, 8, N/A, 0," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 178, 174, 39, 33, 47, 35, 35, N/A,,,,,
222,D'Youville College, Mark Pavone, N/A, (716) 829-8400, graduateadmissions@dyc.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Ed.D.,, No, N/A, N/A, N/A, N/A, 2, 1, 0, 7, 100%, 0%, 50, 22, N/A, N/A, N/A, James Nowak, (716) 829-7500, N/A, N/A, N/A, N/A, N/A, N/A," $20,898 per year"," $1,161 per credit"," $11,080", Graduate school of education, N/A, No, No, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
223,East Stroudsburg University of Pennsylvania, Dr. William Bajor, $50, (570) 422-3536, grad@po-box.esu.edu, Website, Website, N/A, Yes,, 6, 100%, 17, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 80.9%, 68, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 57.9%,, 19, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 3, 83, N/A, 9, 15, 0, N/A, 100%, 0%, 386, 26, N/A, N/A, N/A, Kary Tejeda, (570) 422-2800, N/A,,,, N/A,, N/A,," $11,760", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, some students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
224,East Tennessee State University (Clemmer), N/A, $35, (423) 439-4221, gradsch@etsu.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 27, 164, 2, 42, N/A, N/A, N/A, N/A, N/A, 633, 284, N/A, N/A, N/A, Catherine Ann Morgan, (423) 439-4300,,,,,,,,," $8,416", School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities)", Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
225,Fayetteville State University, Ulisa Bowles, $50, (910) 672-1371, admissions@uncfsu.edu, Website, Website, N/A, No, N/A, N/A, 84.2%, 221, 88%, 3, N/A, N/A, N/A, N/A, N/A, N/A, 95.4%, 393, 92%, 3.08, 1%, 1%, 1%,, 2, N/A, 91.8%,, 85, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.", N/A, No, No, N/A, N/A, N/A, 6, 17, 15, 2, 100%, 11.8%, 365, 123, N/A, N/A, N/A, Kamesia House, (910) 672-1423, N/A, N/A,,, N/A, N/A,, N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), NAFEO (National Association for Equal Opportunity in Higher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Master's program(s)", 3, 3, 0, 6, 0, 0, 0, 13," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 188, 71, N/A, N/A, N/A, N/A, N/A,,, N/A,,,
226,Florida Southern College, Kristen Pinner, $0, (863) 680-4205, evening@flsouthern.edu, Website, Website, Website, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 30%, 20, 100%, 3.45, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ed.D.", N/A, No, Yes, N/A, 38, N/A, 9, 8, 7, 25, 88%, 0%, 212, 51, N/A, N/A, N/A, William Healy, (863) 680-4140, N/A, N/A, $445 per credit, $445 per credit, N/A, N/A, $500 per credit, $500 per credit," $12,006", School of education with undergraduate and graduate divisions, N/A, No, No, No," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level", N/A, N/A, N/A, N/A, N/A, N/A, N/A, 5," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 63, 50, 31, 23, 41, 26, N/A, N/A, N/A,,,,
227,Frostburg State University, Sara Beth Bittinger, $45, (301) 687-7053, gradservices@frostburg.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 86.8%, 114, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%,, 10, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ed.D.",, N/A, Yes, 0, 93, 3, 10, 26, 6, 44, 88%, 0%, 319, 74, N/A, N/A, N/A, Natalia Kennedy, (301) 687-4301, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," $5,739", School of education with undergraduate and graduate divisions, N/A, N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 35, N/A, 35, 0, 37, 0, N/A," Yes, used in all teaching programs", N/A, N/A, N/A, N/A, 108, N/A, 102, N/A, N/A, N/A,, N/A, N/A,,
228,Houston Baptist University, Andrew Keith, $35, (281) 649-3269, GradAdmissions@HBU.edu, Website, Website, Website, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, Yes, Yes, N/A, 22, N/A, 2, 0, N/A, N/A, N/A, N/A, 387, 105, N/A, N/A, N/A, Marisela Maldonado, (281) 649-3749, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, CCCU (Council for Christian Colleges and Universities), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, some students are mentored", 74, 70, N/A, N/A, N/A, N/A, N/A,,,,,,
229,Johnson & Wales University, Evan Grenier, $0, (401) 598-1015, cpsadmissions@jwu.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 97.2%, 36, 88%, 3.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, Ed.D.", N/A, No, No, N/A, 34, N/A, 15, 0, 5, 29, N/A, N/A, 118, 118, N/A, N/A, N/A, Dawn Blanchette, (401) 598-1520, N/A, N/A, $555 per credit, N/A, N/A, N/A, $964 per credit, N/A, N/A, Graduate school of education, N/A, N/A, N/A, N/A, Master's program(s), N/A, 36, N/A, 36, N/A, 21, N/A, 0, No," Yes, in all teaching programs", N/A, 13, 13, 14, 13, N/A, N/A, N/A, N/A,,,,,
230,Judson University," Nikki Fennern, Ph.D.", N/A, (847) 628-2510, admissions@judsonu.edu, Website, Website, Website, Yes,, 6.5, 100%, 5, 80%, 3.66, N/A, N/A, N/A, N/A, N/A, N/A, 100%, 10, 100%, 4, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, No, No, 2, 4, 0, 8, 16, 3, 62, 88%, 0%, 100, 90, N/A, N/A, N/A, Vincent Peluso, (847) 628-2535, N/A, N/A," $12,300 per year", N/A, N/A, N/A," $11,250 per year", N/A, N/A, School of education with undergraduate and graduate divisions, CCCU (Council for Christian Colleges and Universities), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level", 5, 0, 0, 5, 2, 0, 0, 3, No," Yes, in all teaching programs"," Yes, all students are mentored", 16, 15, 13, 12, N/A, N/A, N/A, N/A,,,,,
231,Keiser University, Terri Del Vecchio, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%, 8, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%,, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, education specialist, Ph.D.",, Yes, Yes, N/A, 24, 2, 16, 0, 12, 0, N/A, N/A, 142, 142, N/A, N/A, N/A, Fred Pfeffer, (954) 318-1620, N/A, N/A," $1,072 per credit", N/A," $1,148 per credit", N/A," $1,099 per credit", N/A," $14,148", Graduate school of education, N/A, No, No, No, Master's program(s), N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs", No, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
232,Lamar University, Hanna Deland, $25, (409) 880-8356, gradmissions@lamar.edu, Website, Website, N/A, Yes,, 6.5, 75%, 12, 100%, 2.86, 17%, 17%, N/A,, N/A, N/A, 79.5%," 6,776", 100%, 3.22, 1%, 1%, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.",, Yes, Yes, 870," 1,995", N/A, 52, 22, 25, 40, 100%, 0%," 5,488"," 4,035", N/A, N/A, N/A, Bethany Bowman, (409) 880-8450,,,,, N/A, N/A,,," $9,590", School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities), HACU (Hispanic Association of Colleges and Universities)", Yes, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
