,School,Director of admissions,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),Percent of new entrants providing GPA scores(Doctoral),Average undergraduate GPA(Doctoral),Percent of new entrants providing verbal GRE scores(Doctoral),Percent of new entrants providing quantitative GRE scores(Doctoral),Average GRE analytical writing score(Doctoral),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or nontenure track),Part-time faculty,Full-time faculty elected to the National Academy of Engineering,Total graduate engineering enrollment(Student Body),Enrollment (master's),Minority students (master's),International students (master's),Enrollment (Ph.D.),Minority students (Ph.D.),International students (Ph.D.),Financial aid director,Financial aid phone,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Mean TOEFL score of entering students,Average GRE score(Master's),Average GRE score(Doctoral),Student diversity (master's),Student diversity (Ph.D.),Countries most represented by international students(Student Body),Applicants (master's),Applicants (Ph.D.),Gender distribution of enrolled (master's),Gender distribution of enrolled (Ph.D.)
70,Lehigh University (Rossin), Sabrina Jedlicka, 07/15, 01/15, $75, $75, (610) 758-6310, graduate.engineering@lehigh.edu, Website, Website, Website, 56.2%, 30%, 64%, 3.39, 18%, 18%, 3.7, 58%, 3.5, 40%, 40%, 3.5, Yes,, 6.5, 619, 159, 122, 306, 32, 242, 198, 40.9%, 16.2%, 30.3%, 44, 79.5%, 4.5%, 34.1%, 116, 26, 11, 1, 619, 159, 11.9%, 49.7%, 306, 5.6%, 73.9%, Jennifer Mertz, (610) 758-3181," $1,500 per credit"," $1,500 per credit"," $1,500 per credit"," $1,500 per credit"," $9,480", 33, 2.9, 3.6, 45.7%, 163, 2.6:1, 44," $24,676,227"," $212,726", 0.9%, 619,,,,,,,,,,
71,University of Houston (Cullen), Dr. Suresh Khator, 05/15, 05/15, $50, $80, (713) 743-4200, mavernon-harrison@uh.edu, Website, Website, Website, 55.6%, 42.3%, 78%, 3, 62%, 62%, 3.2, 72%, 3.49, 41%, 41%, 3.5, Yes,, 6.5," 1,493", 588, 265, 549, 91, 396, 293, 62.5%, 10.9%, 26.6%, 103, 80.6%, 1.9%, 28.2%, 172, 46, 78, 7," 1,493", 588, 17%, 75.3%, 549, 9.7%, 80.1%, Scott Moore, (713) 743-1010,,,,," $14,300", 33, 2.6, 3.3, 52.7%, 160, 3.2:1, 103," $40,991,158"," $246,935", 4.1%," 1,493",,,,,,,,,,
72,Clemson University, Kathleen Costello, N/A, N/A, $80, $90, (864) 656-2561, grdapp@clemson.edu, Website, Website, Website, 83%, 51.3%, 29%, 3.39, 39%, 39%, 3.5, 34%, 3.46, 54%, 54%, 3.4, Yes, N/A, N/A," 1,347", 545, 139, 608, 55, 586, 502, 60.2%, 3.6%, 21.9%, 84, 64.3%, 4.8%, 29.8%, 243, 120, 22, 1," 1,347", 545, 9.7%, 53.2%, 608, 8.9%, 60.4%, Elizabeth Milam, (864) 656-2280,,,,," $11,980", 32, 2.9, 3.5, 74.5%, 160, 2.5:1, 84," $48,260,243"," $200,250", 0.4%," 1,347", N/A,,,,,,,,,
73,Oregon State University, Rosemary Garagnani, 02/01, 02/01, $75, $85, (541) 737-4881, graduate.school@oregonstate.edu, Website, Website, Website, 25.7%, 23.4%, 99%, 3.34, 17%, 17%, 3.7, 99%, 3.55, 27%, 27%, 3.8, Yes,, 6.5," 1,184", 483, 207, 451, 43, 449, 364, 56.6%, 10.7%, 25%, 85, 61.2%, 11.8%, 28.2%, 200, 40, 18, 2," 1,184", 483, 10.8%, 54.5%, 451, 9.1%, 53%, Keith Raab, (541) 737-2241,,,,," $15,576", 32, 2.7, 3.4, 25%, 162, 2.3:1, 85," $49,934,337"," $243,582", 1%," 1,184",,,,,,,,,,
74,University of Central Florida, Dr. Ali Gordon, 07/01, 07/01, $32, $32, (407) 823-2455, gradengr@ucf.edu, Website, Website, N/A, 71%, 45.3%, 100%, 3.45, 13%, 13%, 4, 100%, 3.48, 48%, 48%, 3, Yes,, 6.5," 1,970", 405, 864, 625, 76, 557, 423, 28.8%, 30.3%, 29.1%, 134, 55.2%, 15.7%, 23.9%, 168, 35, 59, 2," 1,970", 405, 34.1%, 32.3%, 625, 15%, 67.7%, Alicia Keaton, (407) 823-2827,,,,," $10,300", 32, 2.6, 3.4, 62.6%, 159, 3.7:1, 134," $45,357,210"," $259,184", 1.2%," 1,970",,,,,,,,,,
75,University of Iowa, Brent Gage, N/A, N/A, $60, $100, (319) 335-1525, admissions@uiowa.edu, Website, Website, N/A, 72.7%, 43.3%, 90%, 3.5, 24%, 24%, 3.9, 96%, 3.5, 55%, 55%, 3.6, Yes,, N/A, 386, 105, 29, 215, 37, 138, 94, 35.1%, 7.4%, 23.4%, 44, 54.5%, 4.5%, 27.3%, 108, 13, 15, 2, 386, 105, 12.4%, 22.9%, 215, 8.8%, 53%, Cynthia Seyfer, (319) 335-1450,, N/A,, N/A," $11,780", 32, 2.8, 3.2, 56.5%, 162, 2:1, 44," $49,941,163"," $416,176", 1.9%, 386,,,,,,,,,,
76,University of Illinois--Chicago, Malinda Lorkovich, 05/15, 05/15, $70, $160, (312) 996-4350, uicgrad@uic.edu, Website, Website, Website, 56.2%, 29.4%, 100%, 3.17, 47%, 47%, 3.4, 100%, 3.37, 51%, 52%, 3.3, Yes,, 6.5," 1,198", 445, 176, 490, 87, 475, 399, 77.4%, 12.8%, 25.6%, 76, 56.6%, 19.7%, 28.9%, 137, 54, 19, 1," 1,198", 445, 13.5%, 76.4%, 490, 9.4%, 79.2%, Kiely Fletcher, (312) 996-3126,,,,," $17,510", 31, 2.6, 3, 51.7%, 161, 3.6:1, 76," $48,741,422"," $358,393", 0.7%," 1,198",,,,,,,,,,
77,Washington State University, Pat Sturko, 01/31, 01/31, $75, $75, (509) 335-1446, gradsch@wsu.edu, Website, Website, N/A, 26.9%, 31.9%, 41%, 3.45, 33%, 33%, 4, 84%, 3.62, 58%, 58%, 3, Yes,, 7, 679, 167, 146, 334, 32, 225, 152, 55.3%, 14.5%, 22.4%, 73, 75.3%, 6.8%, 28.8%, 128, 94, 35, 2, 679, 167, 12.6%, 50.9%, 334, 9.6%, 68%, Brian Dixon, (509) 335-9711,,,,," $5,924", 31, 2.7, 3.2, 28.9%, 160, 2.6:1, 73," $33,815,662"," $239,827", 1.6%, 679,,,,,,,,,,
78,Colorado State University (Scott)," Mary Stromberger, Dean, Graduate School", 04/01, 04/01, $60, $70, (970) 491-6817, gradschool@colostate.edu, Website, Website, N/A, 28.6%, 29.2%, 100%, 3.51, 7%, 7%, 4.2, 100%, 3.56, 3%, 3%, 3.5, Yes,, 6.5," 1,169", 388, 215, 353, 213, 271, 218, 40.4%, 9.2%, 27.1%, 53, 37.7%, 15.1%, 35.8%, 141, 35, 1, 2," 1,169", 388, 10.6%, 38.7%, 353, 6.8%, 55.2%, Joe Donlay, (970) 491-6321,,,,," $11,844", 30, 2.6, 3.2, 28.8%, 155, 2.5:1, 53," $85,642,387"," $586,592", 1.4%," 1,169",,,,,,,,,,
79,George Washington University, Brittany Wright, 01/15, 01/15, $80, $80, (202) 994-1802, engineering@gwu.edu, Website, Website, Website, 82.8%, 27.8%, 46%, 3.26, 18%, 18%, 3.3, 35%, 3.2, 19%, 19%, 3.5, Yes,, 6," 1,756", 459, 858, 375, 64, 719, 626, 40.7%, 17.3%, 28%, 93, 30.1%, 26.9%, 19.4%, 80, 15, 79, 0," 1,756", 459, 14.8%, 52.7%, 375, 23.5%, 44.5%, Brittany Wright, (202) 994-1802," $1,995 per credit"," $1,995 per credit"," $1,995 per credit"," $1,995 per credit"," $23,400", 30, 2.6, 3.3, 67.9%, 163, 4.7:1, 93," $20,776,003"," $250,313", 0%," 1,756",,,,,,,,,,
80,University of Texas--Arlington, Troy Johnson, 03/15, 03/15, $75, $90, (817) 272-2090, utaadmissions@uta.edu, Website, Website, Website, 77.2%, 47%, 99%, 3.51, 60%, 60%, 3, 100%, 3.54, 72%, 72%, 3.2, Yes,, 6.5," 2,666"," 1,576", 571, 361, 158," 1,080", 966, 80.8%, 11.3%, 24.7%, 114, 84.2%, 4.4%, 28.1%, 167, 53, 64, 4," 2,666"," 1,576", 4.9%, 91.1%, 361, 7.5%, 83.7%, Karen Krause, (817) 272-3561,,,,," $11,540", 30, 2.4, 3.1, 75.1%, 159, 2.2:1, 114," $57,808,715"," $334,154", 2.4%," 2,666",,,,,,,,,,
81,Drexel University, Angela Montgomery, 09/01, 01/07, $65, $65, (215) 895-6700, enroll@drexel.edu, Website, Website, Website, 85.2%, 32.6%, 69%, 3.29, 16%, 16%, 3.6, 70%, 3.45, 39%, 39%, 3.8, Yes,, 6.5, 950, 205, 388, 326, 31, 363, 315, 28.6%, 25.7%, 34.3%, 48, 54.2%, 10.4%, 31.3%, 128, 58, 38, 1, 950, 205, 24.4%, 42.4%, 326, 16.6%, 49.7%, Cynthia DeLone, (215) 895-1600," $1,342 per credit"," $1,342 per credit"," $1,342 per credit"," $1,342 per credit", N/A, 29, 2.9, 3.4, 66.3%, 158, 2.5:1, 48," $23,903,625"," $183,874", 0.8%, 950,,,,,,,,,,
82,Stevens Institute of Technology (Schaefer), Dina Iskaros, N/A, N/A, $60, $60, (888) 783-8367, graduate@stevens.edu, Website, Website, Website, 85.4%, 18.9%, N/A, N/A, 41%, 41%, 3.3, N/A, N/A, 61%, 61%, 3.4, Yes,, 7," 2,483"," 1,341", 799, 314, 29, 976, 933, 61.8%, 9.9%, 23.5%, 43, 69.8%, 4.7%, 27.9%, 117, 33, 79, 0," 2,483"," 1,341", 5.7%, 82.6%, 314, 2.9%, 80.3%, Susan Gross, (201) 216-8143," $38,016 per year"," $1,716 per credit"," $38,016 per year"," $1,716 per credit"," $16,600", 29, 2.5, 3.4, 76%, 160, 2.7:1, 43," $29,019,376"," $266,233", 0%," 2,483", N/A,,,,,,,,,
83,Syracuse University, Kathleen Joyce, 06/01, 01/01, $75, $75, (315) 443-2219, topgrads@syr.edu, Website, Website, Website, 35.9%, 18.9%, 70%, 3.28, 51%, 51%, 3.2, 73%, 3.31, 67%, 67%, 3.3, Yes,, 6.5, 900, 423, 251, 200, 26, 494, 456, 67.8%, 10.5%, 22.1%, 38, 81.6%, 5.3%, 26.3%, 75, 25, 15, 1, 900, 423, 7.1%, 80.6%, 200, 6.5%, 79.5%, Michele Sipley, (315) 443-1513," $1,734 per credit"," $1,734 per credit"," $1,734 per credit"," $1,734 per credit"," $14,378", 29, 2.6, 3.3, 33.6%, 161, 2.7:1, 38," $11,369,331"," $145,761", 1.3%, 900,,,,,,,,,,
84,University of California--Riverside (Bourns), Elisa Gutierrez, 08/15, 08/15, $105, $125, (951) 827-3977, graddiv@ucr.edu, Website, Website, Website, 63.2%, 37.2%, 100%, 3.37, 47%, 47%, 3.4, 100%, 3.47, 49%, 49%, 3.4, Yes,, 7, 894, 342, 15, 534, 3, 333, 256, 66%, 19.1%, 23%, 77, 71.4%, 14.3%, 26%, 131, 6, 20, 1, 894, 342, 24.6%, 65.2%, 534, 13.7%, 74%, Jose A. Aguilar, (951) 827-3878,,,,," $15,100", 29, 2.6, 2.8, 55.3%, 164, 4.1:1, 77," $34,592,087"," $274,540", 0.8%, 894,,,,,,,,,,
85,Michigan Technological University, Jacque Smith, N/A, N/A, $0, $0, (906) 487-1434, jacque@mtu.edu, Website, Website, Website, 26.8%, 14.6%, 31%, 3.5, 51%, 51%, 3.1, 22%, 3.4, 39%, 39%, 3.4, Yes,, 6.5, 735, 310, 131, 236, 58, 334, 279, 62%, 3.2%, 22.6%, 55, 65.5%, 1.8%, 21.8%, 153, 45, 20, 0, 735, 310, 4.2%, 66.5%, 236, 2.5%, 68.2%, Contact Department, (906) 487-2005,,,,," $9,991", 28, 2.4, 3.5, 23.4%, 159, 1.5:1, 55," $38,640,000"," $272,113", 0%, 735,,,,,,,,,,
86,New Jersey Institute of Technology, Stephen Eck, 06/01, 12/15, $75, $75, (973) 596-3300, admissions@njit.edu, Website, Website, Website, 68.4%, 46.9%, 38%, 3.42, 29%, 29%, 3, 25%, 3.88, 65%, 65%, 3.2, Yes,, 6.5," 1,986", 906, 773, 271, 36, 936, 875, 47.1%, 31.3%, 28%, 61, 78.7%, 4.9%, 27.9%, 171, 63, 207, 0," 1,986", 906, 16.1%, 73.5%, 271, 10.3%, 80.1%, Ivon Nunez, (973) 596-3479,,,,," $14,200", 28, 2.4, 3.1, 67.4%, 158, 1.6:1, 61," $72,925,561"," $441,973", 0%," 1,986",,,,,,,,,,
87,University of California--Santa Cruz (Baskin), Marissa Maciel, 01/14, 01/14, $120, $140, (831) 459-5905, bsoe-ga@rt.ucsc.edu, Website, Website, N/A, 44.3%, 29.4%, 100%, 2.98, N/A, N/A, N/A, 100%, 2.97, N/A, N/A, N/A, Yes,, 7, 659, 243, 12, 381, 23, 199, 168, 51.8%, 25.6%, 31.5%, 31, 32.3%, 32.3%, 29%, 124, 6, 7, 1, 659, 243, 28.8%, 47.3%, 381, 17.8%, 49.9%, Patrick Register, (831) 459-2963,,,,," $21,495", 28, 2.4, 3, 41.4%, N/A, 3.1:1, 31," $47,185,139"," $410,306", 0.8%, 659,, N/A, N/A,,,,,,,
88,University of Cincinnati, Ms. Julie D. Muenchen, 04/01, 04/01, $75, $80, (513) 556-3647, engrgrad@uc.edu, Website, Website, N/A, 42.7%, 46%, 96%, 3.5, 41%, 41%, 3.2, 94%, 3.5, 31%, 31%, 3.5, Yes,, 6.5," 1,354", 874, 107, 361, 12, 453, 396, 72.2%, 6.3%, 27.3%, 57, 75.4%, 0%, 24.6%, 130, 34, 14, 0," 1,354", 874, 6.9%, 77.6%, 361, 5.8%, 73.7%, Ms. Julie D. Muenchen, (513) 556-3647,,,,," $14,000", 28, 2.5, 3.2, 43%, 161, 2.8:1, 57," $17,698,298"," $133,070", 0%," 1,354",,,,,,,,,,
89,University of New Mexico, Richard Matthew Hulett, N/A, N/A, $60, $70, (505) 277-8900, unmlobos@unm.edu, Website, Website, Website, 64.7%, 55.3%, 60%, 3.5, 34%, 34%, 3.5, 71%, 3.6, 47%, 45%, 3.6, Yes,, 6.5, 800, 408, N/A, 392, N/A, 233, 196, 27%, 30.6%, 24.5%, 37, 43.2%, 29.7%, 27%, 97, 43, 41, 1, 800, 408, 41.9%, 15.4%, 392, 20.4%, 41.6%, Brian Malone, (505) 277-8900,, N/A,, N/A," $10,396", 28, 2.5, 3, 61.2%, 156, 4:1, 37," $34,906,000"," $359,856", 1%, 800,,,,,,,,,,
90,Worcester Polytechnic Institute, Melissa Terrio, N/A, N/A, $70, $70, (508) 831-5301, grad@wpi.edu, Website, Website, N/A, 78.7%, 37.3%, N/A, N/A, 34%, 34%, 3.6, N/A, N/A, 40%, 40%, 3.3, Yes,, 7," 1,171", 322, 529, 251, 69, 487, 452, 27.9%, 18.1%, 23%, 35, 60%, 2.9%, 28.6%, 132, 37, 23, 0," 1,171", 322, 9.3%, 62.7%, 251, 7.2%, 66.5%, Jessica Sabourin, (508) 831-5469," $28,980 per year"," $1,610 per credit"," $28,980 per year"," $1,610 per credit"," $15,302", 28, 2.6, 3.4, 67%, 164, 1.9:1, 35," $27,462,509"," $217,956", 0%," 1,171",,,,,,,,,,
91,George Mason University (Volgenau), Alan Byrd, 03/15, 12/01, $75, $75, (703) 993-9700, masongrad@gmu.edu, Website, Website, Website, 85.9%, 57.2%, 78%, 3.46, 22%, 22%, 3.3, 75%, 3.48, 43%, 43%, 3.4, Yes,, 6.5," 2,071", 752, 876, 355, 88, 632, 593, 49.7%, 20.9%, 34.2%, 39, 61.5%, 7.7%, 23.1%, 151, 77, 195, 0," 2,071", 752, 12.9%, 73.9%, 355, 5.6%, 83.7%, Sandra Tarbox, (703) 993-2353,,,,, N/A, 27, 2.4, 3, 81.6%, 160, 2.4:1, 39," $62,392,965"," $445,664", 0%," 2,071",,,,,,,,,,
92,Missouri University of Science & Technology--Rolla, Cathy Tipton, 04/30, 02/15, $0, $0, (800) 522-0938, admissions@mst.edu, Website, Website, Website, 58.5%, 68.3%, N/A, N/A, 6%, 6%, 3.7, N/A, N/A, 29%, 29%, 3.6, Yes,, 6.5," 1,079", 326, 294, 391, 68, 430, 326, 13.5%, 16%, 15.3%, 104, 68.3%, 5.8%, 19.2%, 145, 39, 34, 0," 1,079", 326, 14.7%, 35.9%, 391, 4.9%, 70.1%, Bridgette Anne Betz, (573) 341-4282,,,,," $13,934", 27, 2.7, 3.4, 60.3%, 159, 2.7:1, 104," $35,023,190"," $233,488", 0%," 1,079",,,,,,,,,,
93,University of South Florida," Glen Besterfield, Dean of Admissions", 06/01, 02/15, $30, $30, (813) 974-3350, admissions@grad.usf.edu, Website, Website, Website, 31.1%, 31.1%, 26%, 3.3, 29%, 29%, 3, 37%, 3.3, 50%, 50%, 3.5, Yes,, 6.5," 1,001", 410, 200, 349, 42, 417, 346, 71.7%, 10.1%, 26.3%, 71, 71.8%, 11.3%, 36.6%, 120, 66, 5, 0," 1,001", 410, 9.3%, 79.3%, 349, 11.2%, 73.4%, Billie Jo Hamilton, (813) 974-4700,,,,," $13,140", 27, 2.4, 2.8, 31.1%, 160, 2.9:1, 71," $41,774,000"," $328,929", 0%," 1,001",,,,,,,,,,
94,Binghamton University--SUNY (Watson), Maggie Wolford, N/A, N/A, $75, $75, (607) 777-6216, mcude@binghamton.edu, Website, Website, Website, 70.8%, 42.6%, 99%, 3.7, 30%, 30%, 3.2, 97%, 3.51, 32%, 32%, 3.3, Yes,, 6.5," 1,010", 497, 87, 361, 65, 519, 459, 64.1%, 12.2%, 26.4%, 60, 71.7%, 21.7%, 30%, 98, 13, 13, 0," 1,010", 497, 12.9%, 62.8%, 361, 8.6%, 77.6%, Amber Stallman, (607) 777-2428,,,,," $18,064", 26, 2.2, 3.3, 66.4%, 159, 3.7:1, 60," $19,582,674"," $191,987", 0%," 1,010",,,,,,,,,,
95,Florida A&M University - Florida State University, Kari Aime, 07/01, 07/01, $30, $30, (850) 410-6628, gradstudies@eng.famu.fsu.edu, Website, Website, Website, 41.3%, 43.3%, 100%, 3.43, 23%, 23%, 3.5, 100%, 3.39, 76%, 76%, 3.4, Yes,, 6.5, 730, 212, 118, 334, 66, 155, 116, 21.6%, 27.6%, 28.4%, 39, 51.3%, 30.8%, 10.3%, 127, 43, 1, 1, 730, 212, 26.4%, 46.2%, 334, 16.5%, 68.9%, N/A, N/A,, N/A,, N/A," $12,672", 26, 2.4, 3.1, 42%, 159, 2.6:1, 39," $31,361,399"," $241,242", 0.8%, 730,,,,,,,,,,
96,Texas Tech University (Whitacre), Kim Cappillino, N/A, N/A, $75, $75, (806) 834-3374, graduate.admissions@ttu.edu, Website, Website, N/A, 66.3%, 59.3%, N/A, N/A, 27%, 27%, N/A, N/A, N/A, 22%, 22%, N/A, Yes,, 6.5," 1,040", 412, 175, 357, 96, 340, 257, 47.1%, 26.5%, 27.6%, 83, 68.7%, 15.7%, 25.3%, 136, 21, 31, 4," 1,040", 412, 10.2%, 75.5%, 357, 13.4%, 68.9%, Kyle Phillips, (806) 742-3681,,,,," $10,346", 26, 2.3, 3.2, 64.8%, 160, 2.6:1, 83," $19,634,337"," $144,370", 2.9%," 1,040",,,,,,,,,,
97,University of Missouri, Jeni Hart, 03/01, 03/01, $75, $100, (573) 884-1402, gradadmin@missouri.edu, Website, Website, Website, 48.7%, 35.5%, N/A, N/A, 29%, 29%, N/A, N/A, N/A, 44%, 44%, N/A, Yes,, 6.5, 416, 86, 36, 250, 44, 128, 64, 67.2%, 3.1%, 26.6%, 64, 85.9%, 3.1%, 15.6%, 95, 20, 14, 0, 416, 86, N/A, N/A, 250, N/A, N/A, Emily Haynam, (573) 882-2751,, N/A,, N/A," $12,934", 26, 2.4, 3, 42%, 160, 2.6:1, 64," $30,974,428"," $297,831", 0%, 416, N/A,,, N/A, N/A, N/A,,,,
98,Illinois Institute of Technology (Armour), Rishab Malhotra, 01/14, 01/31, $100, $100, (312) 567-3020, gradstu@iit.edu, Website, Website, Website, 58.5%, 22.4%, N/A, N/A, 15%, 15%, 4, N/A, N/A, 4%, 4%, N/A, Yes,, 5.5," 1,249", 588, 427, 212, 22, 607, 569, 74.5%, 4.7%, 28.5%, 38, 97.4%, 0%, 36.8%, 110, 31, 42, 3," 1,249", 588, 3.9%, 89.6%, 212, 5.2%, 82.5%, Elizabeth Wahlstrom-Helgren, (312) 567-7219," $29,052 per year"," $1,614 per credit"," $29,052 per year"," $1,614 per credit"," $15,570", 25, 2.5, 3.2, 55.4%, 158, 1.9:1, 38," $15,512,058"," $141,019", 2.7%," 1,249",,,,,,,,,,
99,University of Maryland--Baltimore County, K. Jill Barr, 01/01, 01/01, $70, $70, (410) 455-1337, umbcgrad@umbc.edu, Website, Website, Website, 64.2%, 54.9%, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5," 1,477", 644, 510, 263, 60, 502, 471, 50.5%, 13.8%, 39.5%, 31, 48.4%, 6.5%, 32.3%, 90, 52, 116, 0," 1,477", 644, 11.6%, 78.9%, 263, 11.4%, 72.2%, Andrea Cipolla, (410) 455-1517,,,,," $25,232", 25, 2.4, 3.1, 63.2%, N/A, 2.9:1, 31," $17,103,201"," $192,171", 0%," 1,477",, N/A, N/A,,,,,,,
100,University of Oklahoma, Amy Shaw, N/A, N/A, $50, $100, (405) 325-6765, gradadm@ou.edu, Website, Website, N/A, 61.5%, 39.2%, 96%, 3.28, 25%, 25%, 3.5, 24%, 3.4, 52%, 52%, 3.5, Yes,, 6.5, 899, 190, 426, 241, 42, 276, 233, 30.9%, 18%, 30.9%, 43, 74.4%, 9.3%, 27.9%, 160, 6, 15, 1, 899, 190, 15.3%, 55.3%, 241, 7.1%, 71.4%, Brad Burnett, (405) 325-9899,,,,," $12,528", 25, 2.4, 3.3, 56.6%, 159, 1.5:1, 43," $27,866,478"," $184,546", 0.6%, 899,,,,,,,,,,
101,Brigham Young University, Logan Gillette, 01/15, 01/15, $50, $50, (801) 422-4091, gradstudies@byu.edu, Website, Website, N/A, 59.1%, 45.3%, 92%, 3.6, 92%, 92%, 4.2, 100%, 3.61, 100%, 100%, 4.1, Yes,, 7, 431, 247, N/A, 184, N/A, 110, 90, 7.8%, 11.1%, 8.9%, 20, 25%, 10%, 15%, 129, 3, 50, 0, 431, 247, 8.1%, 6.5%, 184, 7.1%, 19%, Stephen Hill, (801) 422-8153,, N/A,, N/A," $13,648", 24, 2.5, 3.2, 55.8%, 161, 1.4:1, 20," $17,332,020"," $148,137", 0%, 431,,,,,,,,,,
102,University of Alabama--Huntsville, Jon Hakkila, 06/22, 06/22, $60, $60, (256) 824-6339, jon.hakkila@uah.edu, Website, Website, Website, 86.2%, 66.2%, 41%, 3.5, 18%, 18%, 3.6, 10%, 3.3, 32%, 32%, 3.5, Yes,, 6, 810, 153, 464, 102, 91, 180, 151, 21.2%, 7.9%, 19.9%, 29, 55.2%, 10.3%, 24.1%, 76, 19, 32, 0, 810, 153, 14.4%, 24.2%, 102, 7.8%, 55.9%, Patrick James, (256) 824-6942,,,,," $10,538", 24, 2.3, 2.9, 81.3%, 157, 1.3:1, 29," $67,177,934"," $819,243", 0%, 810,,,,,,,,,,
103,University of Georgia, Cheri Bliss, 07/01, 07/01, $75, $100, (706) 542-1739, gradadm@uga.edu, Website, Website, Website, 60.6%, 45.3%, 100%, 3.43, 68%, 68%, 3.4, 100%, 3.4, 100%, 100%, 3.2, Yes,, 6.5, 181, 57, 5, 117, 2, 42, 30, 30%, 30%, 50%, 12, 66.7%, 0%, 25%, 60, 22, 11, 2, 181, 57, 24.6%, 22.8%, 117, 6%, 68.4%, Nancy Ferguson, (706) 542-6147,,,,," $10,452", 24, 2.4, 3, 53.1%, 161, 2:1, 12," $13,703,144"," $224,642", 3.3%, 181,,,,,,,,,,
104,University of Kansas, Desiree Neyens, 03/01, 03/01, $65, $85, (785) 864-7946, kuengrgrad@ku.edu, Website, Website, Website, 72.2%, 64.4%, 100%, 3.53, 19%, 19%, 3.8, 100%, 3.58, 15%, 15%, 3.2, Yes,, 5.5, 466, 144, 77, 223, 22, 156, 117, 29.9%, 16.2%, 23.1%, 39, 69.2%, 2.6%, 10.3%, 110, 6, 3, 0, 466, 144, 15.3%, 39.6%, 223, 8.1%, 62.3%, Angela Karlin, (785) 864-4700,,,,," $10,726", 24, 2.5, 3.2, 68.7%, 160, 2:1, 39," $17,061,434"," $138,711", 0%, 466,,,,,,,,,,
105,University of Kentucky, Dr. Martha L. Peterson, 04/15, 04/15, $65, $75, (859) 257-4613, grad.admit@uky.edu, Website, Website, Website, 69.4%, 51.8%, 95%, 3.44, 48%, 48%, 3.5, 98%, 3.41, 67%, 67%, 3.2, Yes,, 6.5, 463, 124, 40, 282, 17, 99, 51, 21.6%, 15.7%, 23.5%, 48, 58.3%, 8.3%, 18.8%, 165, 23, 30, 0, 463, 124, 12.9%, 28.2%, 282, 7.1%, 58.2%, Kathy Bialk, (859) 257-3172,,,,," $11,133", 24, 2.4, 3.1, 58.9%, 159, 1.7:1, 48," $44,698,374"," $264,487", 0%, 463,,,,,,,,,,
106,University of Nebraska--Lincoln, Alisha Hanshaw, 12/23, 12/23, $50, $50, (402) 472-2875, graduate@unl.edu, Website, Website, Website, 65.4%, 50.2%, 67%, 3.52, 17%, 17%, 3.4, 22%, 3.34, 32%, 32%, 3.7, Yes,, 6.5, 646, 157, 149, 340, 0, 199, 140, 25.7%, 8.6%, 20%, 59, 69.5%, 3.4%, 23.7%, 188, 33, 20, 2, 646, 157, 8.9%, 36.3%, 340, 8.8%, 62.4%, Justin Chase Brown, (402) 472-2030,,,, N/A," $12,796", 24, 2.5, 3, 57.5%, 158, 1.8:1, 59," $39,756,241"," $204,929", 1.1%, 646,,,,,,,,,,
107,University of South Carolina, Garrick Queen, N/A, N/A, $108, $108, (803) 777-4243, gradapp@mailbox.sc.edu, Website, Website, Website, 79.7%, 48.6%, 92%, 3.4, 41%, 41%, 3.4, 85%, 2.93, 59%, 59%, 3.4, Yes,, 6.5, 572, 162, 64, 311, 35, 136, 92, 40.2%, 56.5%, 37%, 44, 79.5%, 88.6%, 20.5%, 125, 25, 0, 4, 572, 162, 21.6%, 42%, 311, 8%, 74.6%, Joseph Derrick, (803) 777-8134,,,,," $13,840", 24, 2.3, 3, 63%, 159, 2.5:1, 44," $24,936,000"," $199,488", 3.2%, 572,,,,,,,,,,
