School,Total graduate engineering enrollment,Enrollment (full-time master's),Enrollment (part-time master's),Enrollment (full-time Ph.D.),Enrollment (part-time Ph.D.),Score,Peer assessment score (out of 5),Recruiter assessment score (out of 5),Overall acceptance rate,Average GRE quantitative score (master's and Ph.D. students),Ph.D. student/faculty ratio,Ph.D.s granted,Engineering school research expenditures (2021 fiscal year),Research expenditures per faculty member (2021 fiscal year),Faculty membership in National Academy of Engineering,Total graduate engineering enrollment(Ranking),Acceptance rate (master's),Acceptance rate (Ph.D.),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Average GRE analytical writing score(Master's),TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Total graduates,Total master's graduates,International master's graduates,Minority master's graduates,Female master's graduates,Total Ph.D. graduates,International Ph.D. graduates,Minority Ph.D. graduates,Female Ph.D. graduates
Louisiana Tech University, 258, 77, 66, 93, 22, N/A, 1.9, 2.8, 86.5%, N/A, 1.5:1, 19," $10,140,592"," $153,645", 0%, 258, 89.4%, 78.4%, 100%, 3.1, N/A, N/A, N/A, Yes,, 6.5, 108, 89, 29.2%, 9%, 21.3%, 19, 63.2%, 10.5%, 36.8%
Mayo Clinic College of Medicine and Science Graduate School of Biomedical Sciences, 41, 0, 0, 41, 0, N/A, 2.2, 3.1, N/A, N/A, 0.6:1, 2, N/A, N/A, 0%, 41, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes, N/A, N/A, 2, N/A, N/A, N/A, N/A, 2, N/A, N/A, 100%
Morgan State University (Mitchell), 153, 23, 23, 98, 9, N/A, 1.8, 2.8, 83.5%, N/A, 4.9:1, 13," $5,700,000"," $285,000", 0%, 153, 82.4%, 84.4%, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 48, 35, 20%, 80%, 22.9%, 13, 46.2%, 38.5%, 23.1%
North Dakota State University, 385, 85, 110, 83, 107, N/A, 1.9, 2.4, 64.8%, 157, 1:1, 23," $6,181,772"," $73,593", 0%, 385, 64.7%, 65%, 100%, 3.45, 40%, 40%, 3, Yes,, 6, 84, 61, 49.2%, 8.2%, 18%, 23, 65.2%, 13%, 17.4%
Oakland University, 738, 181, 322, 120, 115, N/A, 1.6, 2.4, 85.8%, N/A, 1.7:1, 19," $1,581,740"," $23,261", 0%, 738, 83.3%, 96.7%, 73%, 3.33, N/A, N/A, N/A, Yes,, 6.5, 281, 262, 42%, 11.8%, 32.4%, 19, 57.9%, 10.5%, 31.6%
Ohio University (Russ), 471, 86, 289, 54, 42, N/A, 2.0, 2.7, 64.5%, 159, 0.9:1, 22," $12,473,000"," $164,118", 0%, 471, 68.8%, 57.9%, 100%, 3.39, 19%, 19%, 3.2, Yes,, 6, 178, 156, 13.5%, 24.4%, 16.7%, 22, 77.3%, 4.5%, 31.8%
Old Dominion University  (Batten), 983, 136, 560, 99, 188, N/A, 2.0, 2.7, 88.2%, 156, 0.9:1, 28," $10,619,488"," $98,329", 0%, 983, 87.9%, 89.7%, 78%, 3.24, 25%, 25%, 3.3, Yes,, 6.5, 255, 227, 11.5%, 26.9%, 22.9%, 28, 64.3%, 7.1%, 28.6%
Portland State University (Maseeh), 735, 293, 302, 77, 63, N/A, 1.9, 2.4, 73.1%, 162, 1.2:1, 30," $9,941,086"," $155,329", 1.6%, 735, 74.7%, 60.2%, 61%, 3.83, 6%, 6%, 3, Yes,, 6.5, 327, 297, 42.8%, 7.1%, 35.7%, 30, 66.7%, 3.3%, 26.7%
Prairie View A&M University, 178, 82, 56, 28, 12, N/A, 1.7, 2.3, 85%, N/A, 0.6:1, 4, N/A, N/A, 0%, 178, 85.6%, 66.7%, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 49, 45, 55.6%, 40%, 28.9%, 4, 75%, 0%, 0%
Rowan University, 424, 169, 157, 72, 26, N/A, 2.0, 2.6, 41.6%, N/A, 1:1, 8," $8,950,993", N/A, 0%, 424, 42.5%, 29.5%, 100%, 3.34, N/A, N/A, N/A, Yes,, 6, 138, 130, 29.2%, 6.9%, 24.6%, 8, 50%, 0%, 12.5%
Saint Louis University (Parks), 148, 103, 11, 30, 4, N/A, 1.8, 2.5, 60.4%, 158, 0.8:1, 5," $2,351,751"," $58,794", 0%, 148, 60.8%, 55.2%, 94%, 3.36, 6%, 6%, 3, Yes,, 6.5, 55, 50, 34%, 12%, 20%, 5, 40%, 60%, 60%
South Dakota School of Mines and Technology, 272, 96, 93, 65, 18, N/A, 2.0, 3, 63.4%, N/A, 0.7:1, 18, N/A, N/A, 0%, 272, 66%, 52.5%, N/A, N/A, N/A, N/A, N/A, Yes,, 5.5, 125, 107, 20.6%, 4.7%, 66.4%, 18, 0%, 11.1%, 61.1%
Southern Illinois University--Carbondale, 203, 98, 19, 55, 31, N/A, 1.8, 2.5, 52.7%, 161, 1:1, 20," $1,241,707"," $22,995", 0%, 203, 55.5%, 39.3%, 93%, 3.6, 78%, 78%, 3, Yes,, 6.5, 84, 64, 81.3%, 4.7%, 21.9%, 20, 90%, 5%, 15%
SUNY College of Environmental Science and Forestry, 61, 16, 8, 31, 6, N/A, 2.0, 2.5, 53.1%, N/A, 1.6:1, 6," $1,397,067"," $63,503", 0%, 61, 55.2%, 51.4%, N/A, N/A, N/A, N/A, N/A, Yes,, 6, 12, 6, 33.3%, 0%, 33.3%, 6, 66.7%, 0%, 66.7%
Tennessee State University, 93, 43, 26, 11, 13, N/A, 1.7, 2.3, 89.1%, N/A, 0.5:1, 5, N/A, N/A, 0%, 93, 89.2%, 88.9%, 92%, 3.04, N/A, N/A, N/A, No, N/A, N/A, 28, 23, 34.8%, 56.5%, 17.4%, 5, 80%, 20%, 20%
Tennessee Technological University, 248, 97, 21, 99, 31, N/A, 1.8, 2.4, 67.9%, 157, 1.3:1, 10," $4,956,390"," $62,739", 0%, 248, 64.8%, 73.3%, 100%, 3.59, 10%, 10%, 3, Yes,, 6, 53, 43, 18.6%, 16.3%, 11.6%, 10, 30%, 10%, 0%
Texas A&M University--Kingsville (Dotterweich), 415, 264, 114, 17, 20, N/A, 1.7, 2.3, 73.8%, 154, 0.3:1, 7," $3,313,852"," $54,325", 0%, 415, 73.9%, 62.5%, 97%, 3.44, 20%, 20%, 2.6, Yes,, 6, 214, 207, 92.3%, 7.2%, 24.6%, 7, 85.7%, 14.3%, 0%
The Catholic University of America, 205, 58, 50, 80, 17, N/A, 1.8, 2.4, 76.2%, 158, 3.1:1, 11," $2,893,491"," $111,288", 0%, 205, 78.4%, 69.8%, 100%, 3.2, 2%, 2%, 3.5, Yes,, 6.5, 99, 88, 56.8%, 21.6%, 36.4%, 11, 81.8%, 0%, 27.3%
University of Akron, 357, 50, 52, 223, 32, N/A, 1.9, 2.7, 49.3%, N/A, 2.8:1, 19," $11,898,453"," $154,525", 0%, 357, 48.2%, 50.6%, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, 985, 966, N/A, N/A, N/A, 19, N/A, N/A, N/A
University of Alabama--Birmingham, 652, 165, 371, 82, 34, N/A, 2.2, 2.6, 72.3%, 157, 2.2:1, 12," $19,206,811"," $436,518", 0%, 652, 75.7%, 47.2%, 84%, 3.25, 4%, 4%, 2.9, Yes,, 6.5, 252, 240, 0%, 18.3%, 19.2%, 12, 0%, 33.3%, 16.7%
University of Alaska--Fairbanks, 66, 21, 30, 8, 7, N/A, 1.9, 2.4, 49.1%, 158, 0.2:1, 3," $16,949,500"," $403,560", 0%, 66, 51%, 37.5%, N/A, N/A, 7%, 7%, 3.5, Yes,, 6.5, 22, 19, 26.3%, 15.8%, 21.1%, 3, 0%, 33.3%, 33.3%
University of Arkansas--Little Rock, 275, 68, 35, 80, 92, N/A, 1.8, 2, 50.3%, 155, 3.5:1, 24," $5,376,389"," $162,921", 0%, 275, 56.2%, 38.9%, 100%, 3.28, 44%, 44%, 2.9, Yes,, N/A, 54, 30, 66.7%, 10%, 30%, 24, 62.5%, 16.7%, 33.3%
University of Colorado--Colorado Springs, 291, 13, 182, 10, 86, N/A, 2.0, 2.6, 66.2%, 153, 0.3:1, 20," $2,453,989"," $70,114", 0%, 291, 67%, 64.1%, 94%, 3.2, 13%, 13%, 2, Yes,, 6.5, 74, 54, 22.2%, 20.4%, 22.2%, 20, 55%, 15%, 10%
University of Detroit Mercy, 151, 47, 82, 20, 2, N/A, 1.5, 2, 83.2%, N/A, 0.9:1, 2," $148,070"," $6,730", 0%, 151, 84%, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, 99, 97, 59.8%, 5.2%, 20.6%, 2, 100%, 0%, 0%
University of Hawaii--Manoa, 196, 116, 15, 65, 0, N/A, 2.0, 2.7, 75.4%, 158, 1.3:1, 7," $7,227,300"," $122,497", 0%, 196, 73.6%, 80%, 100%, 3.38, 42%, 42%, 4, Yes,, 6, 48, 41, 19.5%, 46.3%, 29.3%, 7, 57.1%, 0%, 0%
University of Louisiana--Lafayette, 267, 97, 23, 115, 32, N/A, 1.9, 2.2, 53.3%, 156, 2.2:1, 16," $7,981,000"," $135,271", 0%, 267, 53.2%, 53.5%, 100%, 3.25, 55%, 55%, N/A, Yes,, 6.5, 68, 52, 42.3%, 15.4%, 15.4%, 16, 31.3%, 31.3%, 18.8%
University of Massachusetts--Dartmouth, 342, 134, 128, 40, 40, N/A, 2.1, 2.8, 86.9%, 159, 0.7:1, 12," $2,943,355"," $52,560", 0%, 342, 87.3%, 84.2%, 57%, 3.4, 16%, 16%, 3.2, Yes,, 6.5, 101, 89, 59.6%, 9%, 30.3%, 12, 66.7%, 0%, 58.3%
University of Memphis (Herff), 291, 49, 64, 105, 73, N/A, 1.9, 2.1, 64.7%, 160, 1.5:1, 19," $12,901,797"," $192,564", 0%, 291, 61.2%, 79.2%, 42%, 3.4, 25%, 25%, N/A, Yes,, 6, 70, 51, 47.1%, 9.8%, 21.6%, 19, 15.8%, 5.3%, 10.5%
University of Mississippi, 134, 52, 5, 61, 16, N/A, 2.0, 2.6, 33%, 156, 1.1:1, 8," $5,141,694"," $90,205", 0%, 134, 31.9%, 35.2%, N/A, N/A, 78%, 78%, 3.3, Yes,, 6.5, 32, 24, 54.2%, 58.3%, 29.2%, 8, 50%, 75%, 37.5%
University of Nevada--Las Vegas (Hughes), 259, 89, 43, 112, 15, N/A, 2.0, 2.5, 73.2%, 158, 1.6:1, 11," $5,763,993"," $82,343", 0%, 259, 75.7%, 68.4%, 100%, 3.2, 58%, 58%, 3.5, Yes,, 6.5, 62, 51, 43.1%, 25.5%, 39.2%, 11, 63.6%, 18.2%, 18.2%
University of New Orleans, 102, 30, 50, 10, 12, N/A, 1.6, 1.8, 32.7%, N/A, 0.4:1, 3," $1,452,215"," $50,076", 3.7%, 102, 41.2%, 13.3%, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, 23, 20, N/A, N/A, N/A, 3, N/A, N/A, N/A
University of North Carolina--Charlotte (Lee), 472, 135, 124, 139, 74, N/A, 2.1, 2.6, 80.7%, 158, 1.4:1, 39," $13,580,621"," $129,339", 0%, 472, 84.7%, 67.7%, 100%, 3.2, 39%, 39%, 3.2, Yes,, 6.5, 178, 139, 51.1%, 10.1%, 23%, 39, 66.7%, 5.1%, 15.4%
University of Rhode Island, 281, 92, 70, 88, 31, N/A, 2.2, 2.5, 68.3%, 161, 1.4:1, 16," $9,069,698"," $122,563", 1.5%, 281, 73%, 62.4%, 97%, 3.37, 3%, 3%, 4.8, Yes,, 6.5, 75, 59, 32.2%, 8.5%, 22%, 16, 75%, 6.3%, 31.3%
University of Southern Mississippi, 81, 0, 4, 74, 3, N/A, 1.6, 2.4, 71.8%, N/A, 6.7:1, 8, N/A, N/A, 0%, 81, N/A, 71.8%, N/A, N/A, N/A, N/A, N/A, Yes, N/A, N/A, 17, 9, 33.3%, N/A, 22.2%, 8, 37.5%, N/A, 12.5%
University of Tennessee--Chattanooga, 187, 60, 91, 18, 18, N/A, 1.7, 2.5, 78.6%, 159, 0.3:1, 3," $14,290,326", N/A, 0%, 187, 77.4%, 100%, 44%, 3.46, 11%, 11%, 3.1, Yes,, 6, 63, 60, 30%, 38.3%, 18.3%, 3, 66.7%, 66.7%, 0%
University of Texas--San Antonio, 831, 271, 264, 201, 95, N/A, 2.1, 2.6, 77.1%, 155, 1.4:1, 43," $16,428,343"," $140,413", 0.7%, 831, 84.5%, 53.4%, N/A, N/A, 14%, 14%, 3.3, Yes,, 6.5, 207, 164, 29.9%, 40.9%, 32.9%, 43, 65.1%, 14%, 27.9%
University of Toledo, 255, 69, 79, 66, 41, N/A, 1.9, 2.4, 44.6%, 159, 1.2:1, 17," $8,106,153"," $152,946", 0%, 255, 46.8%, 40.2%, 33%, 3.21, 45%, 45%, 3.1, Yes,, 6.5, 93, 76, 73.7%, 5.3%, 30.3%, 17, 82.4%, 0%, 35.3%
University of Wisconsin--Milwaukee, 359, 160, 40, 144, 15, N/A, 2.2, 2.6, 83.9%, 155, 2.4:1, 27," $4,572,331"," $68,244", 0%, 359, 83.3%, 87.3%, 100%, 3.62, 43%, 43%, 3.2, Yes,, 5.5, 111, 84, 61.9%, 6%, 32.1%, 27, 74.1%, 3.7%, 22.2%
Wayne State University, 706, 180, 251, 234, 41, N/A, 2.1, 2.7, 45.4%, 156, 2.1:1, 43," $10,968,000"," $98,811", 0%, 706, 59.4%, 11.6%, 100%, 3.32, 13%, 13%, 3.5, Yes,, 6.5, 340, 297, 38.4%, 17.5%, 25.9%, 43, 34.9%, 30.2%, 27.9%
Western Michigan University, 338, 162, 52, 63, 61, N/A, 1.7, 2.3, 43.9%, 154, 0.8:1, 25," $3,765,796"," $47,072", 0%, 338, 44.3%, 41%, 13%, 3.3, 16%, 16%, 3.2, Yes,, 6.5, 148, 123, 80.5%, 5.7%, 22.8%, 25, 72%, 0%, 12%
Wright State University, 761, 592, 81, 50, 38, N/A, 2.0, 2.6, 71.8%, 157, 1.1:1, 21," $9,943,858"," $191,228", 0%, 761, 71.4%, 92.7%, 1%, 3.27, 7%, 7%, 2.7, Yes,, 6, 185, 164, 47%, 10.4%, 33.5%, 21, 61.9%, 0%, 23.8%
Air Force Institute of Technology , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
Idaho State University , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
Northern Arizona University , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
South Dakota State University , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 5.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
Texas State University , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University at Albany--SUNY , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of Bridgeport , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of Chicago , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of Idaho , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of Michigan--Dearborn," 1,191", 334, 745, 53, 59, N/A, 2.0, 2.9, 56.6%, 157, N/A, N/A," $4,131,000", N/A, N/A," 1,191", 61.6%, 21.5%, 100%, 3.31, 11%, 11%, 3.3, Yes,, 6.5, 463, 458, 45%, 12%, 26%, 5, 60%, 0%, 0%
University of North Dakota , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of South Alabama , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of South Dakota , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
University of Texas--El Paso , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
Villanova University , 511, 217, 193, 81, 20, N/A, N/A, N/A, 65.2%, 162, 1.1:1, 17," $4,299,647", N/A, 0%, 511, 64.5%, 69.1%, 100%, 3.45, 45%, 45%, 3, Yes,, 7, 153, 136, 25%, 30.9%, 39.7%, 17, 41.2%, 58.8%, 11.8%
